Item Name,Price
Aloo capsicum,$12.00 
Aloo fry,$12.00 
Aloo gobi curry,$12.00 
Amarnath leaves dal,$7.00 
Amla Pickle,$7.00 
Arbi Sabzi (Chamadumpala Pulusu),$12.00 
Avial,$12.00 
Beetroot Rasam,$6.00 
Beetroot curry,$12.00 
Bhagara baingan,$12.00 
Bhimavaram Kodi Biryani,$13.00 
Biseblle bath,$12.00 
Boneless chicken biryani,$13.00 
Brinjal Fry,$12.00 
Butter Chicken,$12.00 
Cabbage fry,$12.00 
Carrot & Beans Fry,$12.00 
Carrot Cabbage Fried Rice,$10.00 
Carrot Halwa,$4.00 
Carrot Rasam,$6.00 
Channa masala,$12.00 
Chettinad Chicken,$12.00 
Chicken 65,$10.00 
Chicken Dhum Biryani,$13.00 
Chicken Fry Piece pulav,$13.00 
Chicken Ghee roast Pulav (Boneless),$13.00 
Chicken Keema roast,$12.00 
Chicken Kheema Biryani,$14.00 
Chicken Podi Curry,$12.00 
Chicken Puff,$4.00 
Chicken Tikka Masala,$12.00 
Chinta chiguru pappu,$7.00 
Chukkakura Pappu (Khatta Palak Dal),$7.00 
Coconut chana dal,$7.00 
Coconut chicken,$12.00 
Coriander Dhai Chicken,$12.00 
Coriander Mint Rice,$10.00 
Coriander Rasam,$6.00 
Couples Thali - Non Veg,$25.00 
Couples Thali - NonVeg,$25.00 
Couples Thali - Veg,$25.00 
Curd,$2.50 
Dal makhani,$7.00 
Dal tadka,$7.00 
Dosavakaya (Yellow Cucumber Pickle),$7.00 
Drum Stick Chicken,$12.00 
Dry Fruit Ladoo,$4.00 
Egg Puff,$4.00 
Egg Pulusu,$12.00 
Family Thali - Non Veg,$40.00 
Family Thali - NonVeg,$40.00 
Family Thali - Veg,$35.00 
Family Thali - Veg,$38.00 
Fish Curry,$12.00 
Fish Pulusu,$12.00 
Flax seeds powder,$7.00 
Ghobi 65 Biryani,$12.00 
Goan fish curry,$12.00 
Goat Majestic Curry,$15.00 
Goat Pulav,$15.00 
Gongura Paneer Pulav,$12.00 
Gongura chicken curry,$12.00 
Gongura dal,$7.00 
Gulab Jamun,$4.00 
Gutti Vankaya Biryani,$12.00 
Idly - 4 Pcs,$8.00 
Kadai Chicken,$12.00 
Kadai Paneer,$12.00 
Kadai Veg,$12.00 
Kashmiri white chicken,$12.00 
Khaddu ka Kheer,$4.00 
Kofta Biryani,$12.00 
Kozhi chicken curry,$12.00 
Lobiya dal (Black Eye Bean Dal),$7.00 
Malai Kabobs,$10.00 
Malai Kofta,$12.00 
Mango Lassi,$4.00 
Mango dal,$7.00 
Methi dal,$7.00 
Moringa leaves dal,$7.00 
Moti Choor Laddu,$4.00 
Munakkaya pesaru pappu,$7.00 
Mushroom masala,$12.00 
Mutter paneer,$12.00 
Okra Tomato,$12.00 
Olan dal (Black Eye Bean Dal),$7.00 
Old city Goat Biryani,$15.00 
Onion pulusu,$6.00 
Palak Paneer,$12.00 
Paneer Butter Masala,$12.00 
Paneer Pulav,$12.00 
Paneer puff,$4.00 
PineApple Kesari,$4.00 
Potlakayi Pergu Pachhadi,$12.00 
Pulissery,$12.00 
Rajma masala,$12.00 
Roti - 10 pcs,$4.00 
Roti - 5 Pcs,$2.25 
Sabudhana Kichidi,$12.00 
Sambar,$7.00 
Samosa - 3 Pcs,$5.00 
Shrikhand,$4.00 
Shrimp Biryani,$13.00 
Single's Thali - Non Veg,$14.00 
Single's Thali - Veg,$14.00 
Sorakaya pappu (Bottle Guard),$7.00 
Soya Aloo,$12.00 
Soya Chunks Curry,$12.00 
Sunnundalu (Urad Dal Laddu),$4.50 
Tamarind Rice,$10.00 
Tandoori Chicken,$10.00 
Tawa Pulav,$12.00 
Tindora fry,$12.00 
Tofu Bhurji,$12.00 
Tomato Dal,$7.00 
Tomato Pepper Rasam,$6.00 
Tomato Pickle,$7.00 
Tomato Rice,$10.00 
Toori Poriyal (Bheerakaya fry),$12.00 
Toori toor dal (Beerakaya pappu),$7.00 
Vankaya Kothimera Karam (Brinjal Coriander),$12.00 
Veg Hakka Noodles,$12.00 
Veg Koorma,$12.00 
White Rice,$2.00 
Yellow cucumbar dal,$7.00 
Yellow mutter dal,$7.00 
